CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
06/18/2017,9:44:00 PM,1A,3700 EDMONDSON AV,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Edgewood,-76.67859,39.29399,STREET,1
06/13/2017,2:57:00 AM,1A,1200 BONAPARTE AV,HOMICIDE,Outside,FIREARM,EASTERN,East Baltimore Midway,-76.59998,39.31544,STREET,1
06/13/2017,2:57:00 AM,1A,1200 BONAPARTE AV,HOMICIDE,Outside,FIREARM,EASTERN,East Baltimore Midway,-76.59998,39.31544,STREET,1
06/13/2017,2:49:00 AM,1A,2500 BOSTON ST,HOMICIDE,Outside,FIREARM,SOUTHEASTERN,Canton,-76.58116,39.28117,STREET,1
06/12/2017,8:37:00 PM,1A,200 S BENTALOU ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Millhill,-76.65271,39.28439,STREET,1
06/12/2017,8:20:00 PM,1A,1100 MT HOLLY ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Edmondson Village,-76.68008,39.29947,ALLEY,1
06/12/2017,10:30:00 PM,1A,1700 GERTRUDE ST,HOMICIDE,Outside,FIREARM,SOUTHWESTERN,Northwest Community Actio,-76.66469,39.3073,PARKING LOT,1
06/09/2017,3:48:00 AM,1O,1600 N SMALLWOOD ST,HOMICIDE,Inside,OTHER,WESTERN,Coppin Heights/Ash-Co-Eas,-76.65257,39.30679,DWELLING,1
06/09/2017,10:35:00 PM,1A,800 GEORGE ST,HOMICIDE,Outside,FIREARM,CENTRAL,Upton,-76.63097,39.29546,STREET,1
06/05/2017,12:23:00 AM,1K,2700 WASHINGTON BLVD,HOMICIDE,Outside,KNIFE,SOUTHWESTERN,Morrell Park,-76.65493,39.26449,PARKING LOT,1
06/03/2017,7:12:00 PM,1A,600 S PAYSON ST,HOMICIDE,Outside,FIREARM,SOUTHERN,Carrollton Ridge,-76.64727,39.28066,STREET,1
